index,gen
153,oqxB
153,qnrS1
153,sul1
154,ant(2'')-Ia
154,aph(3')-Ia
154,blaACT-45
154,blaIMP-13
154,blaTEM-1
154,catB3
154,dfrA19
154,ere(A)
154,fosA
154,mcr-9.1
154,oqxA
154,oqxB
154,qnrB48
154,sul1
155,blaACT
155,catA
155,fosA
155,oqxB
156,blaACT-49
156,catA
156,fosA
156,oqxB
157,blaDHA
157,blaOXA-181
157,dfrA14
157,qnrS1
158,aac(3)-IId
158,aadA5
158,aph(3')-Ia
158,blaDHA-9
158,catA2
158,dfrA17
158,mph(A)
158,sul1
158,tet(B)
159,blaDHA-1
159,catA2
159,dfrA1
159,sul1
160,aadA1
160,blaDHA
160,blaKPC-2
160,dfrA14
160,dfrA1
160,sat2
160,tet(D)
161,blaDHA-1
161,tet(B)
162,aac(6')-Ib'
162,aadA1
162,aph(3'')-Ib
162,aph(3')-Ia
162,aph(6)-Id
162,blaACT-45
162,blaKPC-3
162,blaOXA-9
162,blaTEM-1
162,catA
162,dfrA14
162,fosA
162,oqxB
162,sul2
163,aac(6')-Ib'
163,aac(6')-Ib
163,aadA1
163,aph(3'')-Ib
163,aph(6)-Id
163,blaACT-45
163,blaACT
163,blaKPC-3
163,blaOXA-9
163,blaTEM-1
163,dfrA14
163,fosA
163,oqxA
163,oqxB
163,sul2
164,aac(6')-Ib'
164,aadA1
164,aph(3'')-Ib
164,aph(3')-Ia
164,aph(6)-Id
164,blaACT-45
164,blaKPC-3
164,blaOXA-9
164,blaTEM-1
164,blaTEM
164,dfrA14
164,fosA
164,oqxA
164,oqxB
164,sul2
165,aac(6')-Ib'
165,aadA1
165,aadA2
165,ant(2'')-Ia
165,aph(3'')-Ib
165,aph(3')-Ia
165,aph(6)-Id
165,blaACT-45
165,blaCARB-2
165,blaFOX-5
165,blaKPC-3
165,blaKPC
165,blaOXA-9
165,blaTEM-1
165,blaTEM
165,catB11
165,catB3
165,cmlA
165,dfrA14
165,dfrA19
165,fosA
165,mph(E)
165,msr(E)
165,oqxA
165,oqxB
165,sul1
165,sul2
166,aac(6')-Ib'
166,aadA1
166,aph(3'')-Ib
166,aph(3')-Ia
166,aph(6)-Id
166,blaACT-45
166,blaKPC-3
166,blaOXA-9
166,blaSHV-12
166,blaTEM-1
166,blaTEM
166,dfrA14
166,fosA
166,oqxA
166,oqxB
166,sul2
167,aac(6')-Ib'
167,aadA1
167,aph(3'')-Ib
167,aph(3')-Ia
167,aph(6)-Id
167,blaACT-45
167,blaKPC-3
167,blaOXA-9
167,blaSHV-12
167,blaTEM-1
167,blaTEM
167,dfrA14
167,fosA
167,oqxA
167,oqxB
167,sul2
168,aac(6')-Ib'
168,aadA1
168,aph(3'')-Ib
168,aph(3')-Ia
168,aph(6)-Id
168,blaACT-45
168,blaKPC-3
168,blaOXA-9
168,blaSHV-12
168,blaTEM-1
168,blaTEM
168,dfrA14
168,fosA
168,oqxA
168,oqxB
168,sul2
169,aac(6')-Ib'
169,aadA1
169,aph(3'')-Ib
