index,#Organism group,Strain
600,Campylobacter jejuni,28
601,Campylobacter jejuni,CVM N19C693
602,Campylobacter jejuni,CVM N19C645
603,Campylobacter jejuni,CVM N19C014
604,Campylobacter jejuni,19TN05CB02N-C
605,Campylobacter jejuni,CVM N18C132
606,Campylobacter jejuni,CVM N18C162
607,Campylobacter jejuni,CVM N18C174
608,Campylobacter jejuni,CVM N18C178
609,Campylobacter jejuni,CVM N18C152
610,Campylobacter jejuni,CVM N18C202
611,Campylobacter jejuni,CVM N18C274
612,Campylobacter jejuni,CVM N18C257
613,Campylobacter jejuni,CVM N18C292
614,Campylobacter jejuni,CVM N18C514
615,Campylobacter jejuni,CVM N18C510
616,Campylobacter jejuni,CVM N18C519
617,Campylobacter jejuni,CVM N18C524
618,Campylobacter jejuni,CVM N18C492
619,Campylobacter jejuni,CVM N18C149
620,Campylobacter jejuni,CVM N18C531
621,Campylobacter jejuni,CVM N18C527
622,Campylobacter jejuni,CVM N18C568
623,Campylobacter jejuni,CVM N18C479
624,Campylobacter jejuni,19TN10CB10N-C
625,Campylobacter jejuni,19CA09CB27-UCD-C1
626,Campylobacter jejuni,CVM N18C305
627,Campylobacter jejuni,CVM N18C243
628,Campylobacter jejuni,CVM N18C238
629,Campylobacter jejuni,CVM N18C324
630,Campylobacter jejuni,CVM N18C073
631,Campylobacter jejuni,CVM N18C072
632,Campylobacter jejuni,CVM N18C026
633,Campylobacter jejuni,CVM N18C295
634,Campylobacter jejuni,CVM N18C111
635,Campylobacter jejuni,CVM N18C109
636,Campylobacter jejuni,190R07CB14-C
637,Campylobacter jejuni,CVM N19C305
638,Campylobacter jejuni,CVM N19C033
639,Campylobacter jejuni,19IA10CB22-C1
640,Campylobacter jejuni,19CO09CB21-C1
641,Campylobacter jejuni,CVM N19C061
642,Campylobacter jejuni,CVM N19C100
643,Campylobacter jejuni,CVM N19C111
644,Campylobacter jejuni,19OR07CB28-C1
645,Campylobacter jejuni,19WA07CB25-C1
646,Campylobacter jejuni,CVM N19C124
647,Campylobacter jejuni,CVM N19C272
648,Campylobacter jejuni,CVM N19C223
649,Campylobacter jejuni,CVM N19C166
650,Campylobacter jejuni,CVM N19C143
651,Campylobacter jejuni,19IA09CB06-C1
652,Campylobacter jejuni,CVM N19C572
653,Campylobacter jejuni,CVM N19C325
654,Campylobacter jejuni,CVM N19C502
655,Campylobacter jejuni,CVM N18C362
656,Campylobacter jejuni,CVM N18C358
657,Campylobacter jejuni,CVM N18C418
658,Campylobacter jejuni,CVM N18C431
659,Campylobacter jejuni,CVM N18C433
660,Campylobacter jejuni,CVM N18C399
661,Campylobacter jejuni,CVM N18C061
662,Campylobacter jejuni,19LA04CB10C1
663,Campylobacter jejuni,19NM07CB01-C
664,Campylobacter jejuni,19LA10CB36C1
665,Campylobacter jejuni,19MO12CB15-C1
666,Campylobacter jejuni,19NC11GT14_C
667,Campylobacter jejuni,19CA08CB06-C1
668,Campylobacter jejuni,PNUSAC016620
669,Campylobacter jejuni,19TX07CB25-C
670,Pseudomonas aeruginosa,ps152
671,Pseudomonas aeruginosa,ps189
672,Pseudomonas aeruginosa,1
673,Pseudomonas aeruginosa,AR_0105
674,Pseudomonas aeruginosa,FDA-CDC-AR_0252
675,Pseudomonas aeruginosa,MRSN317
676,Pseudomonas aeruginosa,HS90
677,Pseudomonas aeruginosa,HS110
678,Pseudomonas aeruginosa,MRSN351791
679,Pseudomonas aeruginosa,ps150
